Metropolitan Area,Rank,1-Quarter,1-Year,5-Years,Since 1991Q1,,,
"Oxnard-Thousand Oaks-Ventura, CA",204,1.84,4.91,23.97,185.76,,,
"Anchorage, AK",205,1.39,4.88,9.73,184.56,,,
"Dallas-Plano-Irving, TX (MSAD)",206,2.07,4.81,38.75,203.48,,,
"St. Louis, MO-IL",207,1.53,4.72,23.59,139.63,,,
"Trenton-Princeton, NJ",208,1.09,4.66,15.11,113.13,,,
"Naples-Marco Island, FL",209,2.54,4.59,28.78,251.55,,,
"Amarillo, TX",210,2.12,4.56,17.54,177.24,,,
"Houston-The Woodlands-Sugar Land, TX",211,1.45,4.53,23.5,211.24,,,
"Columbia, MO",212,1.63,4.42,20.4,150.92,,,
"Frederick-Gaithersburg-Rockville, MD (MSAD)",213,1.62,4.42,15.41,160.92,,,
"Savannah, GA",214,0.5,4.4,33.56,221.18,,,
"Jefferson City, MO",215,1.44,4.32,18.06,143.49,,,
"Anaheim-Santa Ana-Irvine, CA (MSAD)",216,1.34,4.23,22.63,219.82,,,
"Fort Collins, CO",217,1.38,4.19,38.15,365.72,,,
"Cedar Rapids, IA",218,1.99,4,17,130.16,,,
"Champaign-Urbana, IL",219,1.27,3.94,10.94,110.66,,,
"New York-Jersey City-White Plains, NY-NJ (MSAD)",220,1.5,3.91,23.15,199.59,,,
"Lafayette, LA",221,0.62,3.89,8.7,180.99,,,
"Napa, CA",222,1.64,3.83,26.42,242.47,,,
"San Luis Obispo-Paso Robles, CA",223,1.25,3.79,25,199.99,,,
"Ann Arbor, MI",224,0.98,3.78,29.65,164.45,,,
"Davenport-Moline-Rock Island, IA-IL",225,0.97,3.73,15.46,153.27,,,
"Bowling Green, KY",226,1.04,3.61,23.13,155.77,,,
"Boulder, CO",227,1.79,3.59,36.23,436.16,,,
"Waterloo-Cedar Falls, IA",228,1.28,3.55,13.64,180.44,,,
"La Crosse-Onalaska, WI-MN",229,0.67,3.54,27.36,213.77,,,
"Baton Rouge, LA",230,1.37,3.54,17.61,188.52,,,
"Santa Maria-Santa Barbara, CA",231,1.08,3.5,18.66,185.84,,,
"Shreveport-Bossier City, LA",232,-0.61,3.4,8.94,138.37,,,
"Elgin, IL (MSAD)",233,1.55,3.36,20.07,87.71,,,
"Charlottesville, VA",234,0.88,3.28,22.42,195.33,,,
"Bloomington, IL",235,0.9,3.19,6.62,92.93,,,
"Oakland-Berkeley-Livermore, CA (MSAD)",236,1.63,3.17,28.23,259.26,,,
"Des Moines-West Des Moines, IA",237,1.39,3.15,20.11,154.39,,,
"Peoria, IL",238,0.87,3,6.4,120.92,,,
"Chicago-Naperville-Evanston, IL (MSAD)",239,1.11,2.98,16.74,122.65,,,
"Fargo, ND-MN",240,0.7,2.82,16.07,201.82,,,
"Bismarck, ND",241,1.67,2.78,6.46,261.57,,,
"Iowa City, IA",242,1.85,2.71,15.95,150.16,,,
"Dubuque, IA",243,0.05,2.69,17.83,170.8,,,
"Lake County-Kenosha County, IL-WI (MSAD)",244,0.86,2.65,14.38,90.54,,,
"Jackson, MS",245,0.92,2.65,12.95,106.87,,,
"Santa Rosa-Petaluma, CA",246,1.59,2.15,26.52,225.13,,,
"Ames, IA",247,0.23,2.1,18.83,171.71,,,
"Springfield, IL",248,0.83,1.79,8.16,85.25,,,
"Santa Cruz-Watsonville, CA",249,0.89,1.37,20.78,232.6,,,
"Urban Honolulu, HI",250,1.23,0.53,16.08,154.83,,,
"San Jose-Sunnyvale-Santa Clara, CA",251,0.55,0.1,18.04,296.6,,,
"San Rafael, CA (MSAD)",252,0.28,-0.53,11.7,216.67,,,
"San Francisco-San Mateo-Redwood City, CA (MSAD)",253,-3.2,-6.72,10.12,283.5,,,
